Unnamed: 0,Operator,Network Type,In Out Travelling,State Name,Call Dropped,Satisfactory,Poor Voice Quality,label
61,Airtel,2G,Travelling,Telangana,24.13793103448276,34.48275862068966,41.3793103448276,Poor
62,Airtel,2G,Travelling,Uttar Pradesh,28.57142857142857,19.047619047619047,52.38095238095239,Inadequate
63,Airtel,2G,Travelling,Uttarakhand,33.33333333333333,33.33333333333333,33.33333333333333,Poor
64,Airtel,2G,Travelling,West Bengal,0.0,75.0,25.0,Very Good
65,Airtel,3G,Indoor,Andaman and Nicobar Islands,100.0,0.0,0.0,Inadequate
66,Airtel,3G,Indoor,Andhra Pradesh,4.040404040404041,86.86868686868686,9.090909090909092,Excellent
67,Airtel,3G,Indoor,Assam,0.0,100.0,0.0,Excellent
68,Airtel,3G,Indoor,Bihar,2.684563758389262,81.87919463087249,15.436241610738255,Excellent
69,Airtel,3G,Indoor,Chandigarh,50.0,50.0,0.0,Average
70,Airtel,3G,Indoor,Chattisgarh,15.0,20.0,65.0,Inadequate
71,Airtel,3G,Indoor,Delhi,20.239880059970005,25.187406296851567,54.572713643178396,Poor
72,Airtel,3G,Indoor,Gujarat,6.7061143984220895,81.4595660749507,11.83431952662722,Excellent
73,Airtel,3G,Indoor,Haryana,17.24137931034483,61.3793103448276,21.379310344827584,Very Good
74,Airtel,3G,Indoor,Himachal Pradesh,50.0,0.0,50.0,Inadequate
75,Airtel,3G,Indoor,Jharkhand,27.90697674418605,41.860465116279066,30.232558139534877,Average
76,Airtel,3G,Indoor,Karnataka,12.47443762781186,70.96114519427404,16.56441717791411,Very Good
77,Airtel,3G,Indoor,Kashmir,0.0,66.66666666666666,33.33333333333333,Very Good
78,Airtel,3G,Indoor,Kerala,8.695652173913043,86.95652173913044,4.3478260869565215,Excellent
79,Airtel,3G,Indoor,Madhya Pradesh,3.6363636363636362,87.27272727272727,9.090909090909092,Excellent
80,Airtel,3G,Indoor,Maharashtra,10.425531914893618,49.361702127659576,40.21276595744681,Average
81,Airtel,3G,Indoor,Meghalaya,0.0,100.0,0.0,Excellent
82,Airtel,3G,Indoor,Odisha,16.666666666666664,50.0,33.33333333333333,Average
83,Airtel,3G,Indoor,Pondicherry,25.0,0.0,75.0,Inadequate
84,Airtel,3G,Indoor,Punjab,0.0,40.0,60.0,Poor
85,Airtel,3G,Indoor,Rajasthan,16.363636363636363,65.45454545454545,18.181818181818183,Very Good
86,Airtel,3G,Indoor,Tamil Nadu,15.94488188976378,47.834645669291326,36.22047244094488,Average
87,Airtel,3G,Indoor,Telangana,9.826589595375722,39.30635838150289,50.867052023121396,Poor
88,Airtel,3G,Indoor,Uttar Pradesh,8.943089430894311,59.95934959349594,31.09756097560976,Average
89,Airtel,3G,Indoor,Uttarakhand,27.98913043478261,14.402173913043475,57.60869565217392,Inadequate
90,Airtel,3G,Indoor,West Bengal,5.357142857142857,86.30952380952381,8.333333333333332,Excellent
91,Airtel,3G,Outdoor,Andhra Pradesh,9.677419354838714,41.935483870967744,48.38709677419354,Average
92,Airtel,3G,Outdoor,Assam,0.0,25.0,75.0,Poor
93,Airtel,3G,Outdoor,Bihar,3.9735099337748334,78.80794701986757,17.218543046357613,Very Good
