,Operator,Network Type,In Out Travelling,State Name,Call Dropped,Satisfactory,Poor Voice Quality
0,Airtel,2G,Indoor,Andhra Pradesh,35.714285714285715,46.42857142857143,17.857142857142858
1,Airtel,2G,Indoor,Assam,0.0,66.66666666666666,33.33333333333333
2,Airtel,2G,Indoor,Bihar,0.0,53.846153846153854,46.153846153846146
3,Airtel,2G,Indoor,Delhi,5.5555555555555545,27.777777777777782,66.66666666666666
4,Airtel,2G,Indoor,Gujarat,2.8169014084507045,88.73239436619718,8.450704225352112
5,Airtel,2G,Indoor,Haryana,3.333333333333333,96.66666666666669,0.0
6,Airtel,2G,Indoor,Himachal Pradesh,75.0,0.0,25.0
7,Airtel,2G,Indoor,Jharkhand,0.0,100.0,0.0
8,Airtel,2G,Indoor,Karnataka,12.871287128712874,31.683168316831683,55.44554455445545
9,Airtel,2G,Indoor,Kashmir,0.0,0.0,100.0
10,Airtel,2G,Indoor,Kerala,0.0,85.71428571428571,14.285714285714285
11,Airtel,2G,Indoor,Madhya Pradesh,33.33333333333333,22.222222222222218,44.444444444444436
12,Airtel,2G,Indoor,Maharashtra,8.0,44.0,48.0
13,Airtel,2G,Indoor,Manipur,0.0,100.0,0.0
14,Airtel,2G,Indoor,Meghalaya,0.0,100.0,0.0
15,Airtel,2G,Indoor,Odisha,26.66666666666667,53.33333333333334,20.0
16,Airtel,2G,Indoor,Punjab,0.0,100.0,0.0
17,Airtel,2G,Indoor,Rajasthan,100.0,0.0,0.0
18,Airtel,2G,Indoor,Sikkim,14.285714285714285,0.0,85.71428571428571
19,Airtel,2G,Indoor,Tamil Nadu,15.625,46.875,37.5
20,Airtel,2G,Indoor,Telangana,22.58064516129032,24.731182795698924,52.68817204301075
21,Airtel,2G,Indoor,Uttar Pradesh,9.70873786407767,32.03883495145632,58.25242718446602
22,Airtel,2G,Indoor,Uttarakhand,25.75757575757576,1.5151515151515151,72.72727272727273
23,Airtel,2G,Indoor,West Bengal,7.6923076923076925,61.53846153846154,30.76923076923077
24,Airtel,2G,Outdoor,Andhra Pradesh,14.000000000000002,16.0,70.0
25,Airtel,2G,Outdoor,Bihar,0.0,82.85714285714286,17.142857142857142
26,Airtel,2G,Outdoor,Chattisgarh,91.66666666666666,8.333333333333332,0.0
27,Airtel,2G,Outdoor,Delhi,0.0,33.33333333333333,66.66666666666666
28,Airtel,2G,Outdoor,Gujarat,0.0,70.0,30.0
29,Airtel,2G,Outdoor,Haryana,28.57142857142857,14.285714285714285,57.14285714285714
30,Airtel,2G,Outdoor,Himachal Pradesh,0.0,75.0,25.0
31,Airtel,2G,Outdoor,Jharkhand,0.0,25.0,75.0
32,Airtel,2G,Outdoor,Karnataka,25.0,29.16666666666667,45.83333333333333
33,Airtel,2G,Outdoor,Kashmir,0.0,0.0,100.0
34,Airtel,2G,Outdoor,Kerala,16.666666666666664,66.66666666666666,16.666666666666664
35,Airtel,2G,Outdoor,Madhya Pradesh,80.0,20.0,0.0
36,Airtel,2G,Outdoor,Maharashtra,21.428571428571427,25.0,53.57142857142857
37,Airtel,2G,Outdoor,Odisha,0.0,66.66666666666666,33.33333333333333
38,Airtel,2G,Outdoor,Punjab,75.0,25.0,0.0
39,Airtel,2G,Outdoor,Rajasthan,0.0,55.555555555555564,44.444444444444436
40,Airtel,2G,Outdoor,Tamil Nadu,27.27272727272727,54.54545454545454,18.181818181818183
41,Airtel,2G,Outdoor,Telangana,14.285714285714285,43.75,41.964285714285715
42,Airtel,2G,Outdoor,Uttar Pradesh,8.433734939759036,15.662650602409641,75.90361445783131
43,Airtel,2G,Outdoor,Uttarakhand,23.07692307692308,0.0,76.92307692307693
44,Airtel,2G,Outdoor,West Bengal,0.0,72.72727272727273,27.27272727272727
45,Airtel,2G,Travelling,Andhra Pradesh,28.57142857142857,4.761904761904762,66.66666666666666
46,Airtel,2G,Travelling,Bihar,25.0,25.0,50.0
47,Airtel,2G,Travelling,Chattisgarh,100.0,0.0,0.0
48,Airtel,2G,Travelling,Delhi,28.57142857142857,14.285714285714285,57.14285714285714
49,Airtel,2G,Travelling,Gujarat,14.285714285714285,71.42857142857143,14.285714285714285
50,Airtel,2G,Travelling,Haryana,0.0,50.0,50.0
51,Airtel,2G,Travelling,Himachal Pradesh,0.0,100.0,0.0
52,Airtel,2G,Travelling,Jharkhand,28.57142857142857,0.0,71.42857142857143
53,Airtel,2G,Travelling,Karnataka,22.72727272727273,27.27272727272727,50.0
54,Airtel,2G,Travelling,Kerala,100.0,0.0,0.0
55,Airtel,2G,Travelling,Madhya Pradesh,50.0,25.0,25.0
56,Airtel,2G,Travelling,Maharashtra,17.647058823529417,52.941176470588246,29.411764705882355
57,Airtel,2G,Travelling,Odisha,33.33333333333333,0.0,66.66666666666666
58,Airtel,2G,Travelling,Punjab,0.0,80.0,20.0
59,Airtel,2G,Travelling,Rajasthan,0.0,75.0,25.0
60,Airtel,2G,Travelling,Tamil Nadu,0.0,100.0,0.0
61,Airtel,2G,Travelling,Telangana,24.13793103448276,34.48275862068966,41.379310344827594
62,Airtel,2G,Travelling,Uttar Pradesh,28.57142857142857,19.047619047619047,52.38095238095239
63,Airtel,2G,Travelling,Uttarakhand,33.33333333333333,33.33333333333333,33.33333333333333
64,Airtel,2G,Travelling,West Bengal,0.0,75.0,25.0
65,Airtel,3G,Indoor,Andaman and Nicobar Islands,100.0,0.0,0.0
66,Airtel,3G,Indoor,Andhra Pradesh,4.040404040404041,86.86868686868686,9.090909090909092
67,Airtel,3G,Indoor,Assam,0.0,100.0,0.0
68,Airtel,3G,Indoor,Bihar,2.684563758389262,81.87919463087249,15.436241610738255
69,Airtel,3G,Indoor,Chandigarh,50.0,50.0,0.0
70,Airtel,3G,Indoor,Chattisgarh,15.0,20.0,65.0
71,Airtel,3G,Indoor,Delhi,20.239880059970005,25.187406296851567,54.572713643178396
72,Airtel,3G,Indoor,Gujarat,6.7061143984220895,81.4595660749507,11.83431952662722
73,Airtel,3G,Indoor,Haryana,17.24137931034483,61.379310344827594,21.379310344827584
74,Airtel,3G,Indoor,Himachal Pradesh,50.0,0.0,50.0
75,Airtel,3G,Indoor,Jharkhand,27.90697674418605,41.860465116279066,30.232558139534877
76,Airtel,3G,Indoor,Karnataka,12.47443762781186,70.96114519427404,16.56441717791411
77,Airtel,3G,Indoor,Kashmir,0.0,66.66666666666666,33.33333333333333
78,Airtel,3G,Indoor,Kerala,8.695652173913043,86.95652173913044,4.3478260869565215
79,Airtel,3G,Indoor,Madhya Pradesh,3.636363636363636,87.27272727272727,9.090909090909092
80,Airtel,3G,Indoor,Maharashtra,10.425531914893618,49.361702127659576,40.21276595744681
81,Airtel,3G,Indoor,Meghalaya,0.0,100.0,0.0
82,Airtel,3G,Indoor,Odisha,16.666666666666664,50.0,33.33333333333333
83,Airtel,3G,Indoor,Pondicherry,25.0,0.0,75.0
84,Airtel,3G,Indoor,Punjab,0.0,40.0,60.0
85,Airtel,3G,Indoor,Rajasthan,16.363636363636363,65.45454545454545,18.181818181818183
86,Airtel,3G,Indoor,Tamil Nadu,15.94488188976378,47.834645669291326,36.22047244094488
87,Airtel,3G,Indoor,Telangana,9.826589595375722,39.30635838150289,50.86705202312139
88,Airtel,3G,Indoor,Uttar Pradesh,8.943089430894311,59.95934959349594,31.09756097560976
89,Airtel,3G,Indoor,Uttarakhand,27.98913043478261,14.402173913043477,57.60869565217392
90,Airtel,3G,Indoor,West Bengal,5.357142857142857,86.30952380952381,8.333333333333332
91,Airtel,3G,Outdoor,Andhra Pradesh,9.677419354838712,41.935483870967744,48.387096774193544
92,Airtel,3G,Outdoor,Assam,0.0,25.0,75.0
93,Airtel,3G,Outdoor,Bihar,3.9735099337748343,78.80794701986757,17.218543046357613
94,Airtel,3G,Outdoor,Chandigarh,0.0,100.0,0.0
95,Airtel,3G,Outdoor,Chattisgarh,0.0,66.66666666666666,33.33333333333333
96,Airtel,3G,Outdoor,Delhi,4.0,20.44444444444445,75.55555555555556
97,Airtel,3G,Outdoor,Gujarat,6.578947368421053,78.94736842105263,14.473684210526313
98,Airtel,3G,Outdoor,Haryana,7.0175438596491215,71.9298245614035,21.052631578947366
99,Airtel,3G,Outdoor,Himachal Pradesh,0.0,45.45454545454545,54.54545454545454
100,Airtel,3G,Outdoor,Jharkhand,29.268292682926827,9.75609756097561,60.97560975609756
101,Airtel,3G,Outdoor,Karnataka,9.411764705882351,39.607843137254896,50.98039215686275
102,Airtel,3G,Outdoor,Kashmir,100.0,0.0,0.0
103,Airtel,3G,Outdoor,Kerala,4.166666666666666,91.66666666666666,4.166666666666666
104,Airtel,3G,Outdoor,Madhya Pradesh,0.0,90.0,10.0
105,Airtel,3G,Outdoor,Maharashtra,1.9841269841269842,77.38095238095238,20.634920634920636
106,Airtel,3G,Outdoor,Odisha,0.0,93.54838709677419,6.451612903225807
107,Airtel,3G,Outdoor,Punjab,10.526315789473683,5.263157894736842,84.21052631578947
108,Airtel,3G,Outdoor,Rajasthan,4.615384615384616,23.07692307692308,72.30769230769229
109,Airtel,3G,Outdoor,Sikkim,50.0,50.0,0.0
110,Airtel,3G,Outdoor,Tamil Nadu,14.601769911504427,66.8141592920354,18.584070796460182
111,Airtel,3G,Outdoor,Telangana,12.44813278008299,19.91701244813278,67.63485477178423
112,Airtel,3G,Outdoor,Tripura,0.0,9.523809523809524,90.4761904761905
113,Airtel,3G,Outdoor,Uttar Pradesh,3.2352941176470598,46.764705882352935,50.0
114,Airtel,3G,Outdoor,Uttarakhand,35.864978902953595,9.70464135021097,54.43037974683544
115,Airtel,3G,Outdoor,West Bengal,4.761904761904762,76.19047619047619,19.047619047619047
116,Airtel,3G,Travelling,Andhra Pradesh,21.27659574468085,36.17021276595745,42.5531914893617
117,Airtel,3G,Travelling,Assam,0.0,66.66666666666666,33.33333333333333
118,Airtel,3G,Travelling,Bihar,9.523809523809524,61.904761904761905,28.57142857142857
119,Airtel,3G,Travelling,Chandigarh,33.33333333333333,33.33333333333333,33.33333333333333
120,Airtel,3G,Travelling,Chattisgarh,0.0,66.66666666666666,33.33333333333333
121,Airtel,3G,Travelling,Delhi,18.666666666666668,45.33333333333333,36.0
122,Airtel,3G,Travelling,Gujarat,21.052631578947366,71.05263157894737,7.894736842105262
123,Airtel,3G,Travelling,Haryana,20.833333333333336,70.83333333333334,8.333333333333332
124,Airtel,3G,Travelling,Himachal Pradesh,0.0,87.5,12.5
125,Airtel,3G,Travelling,Jharkhand,25.0,12.5,62.5
126,Airtel,3G,Travelling,Karnataka,12.162162162162163,50.0,37.837837837837846
127,Airtel,3G,Travelling,Kerala,25.0,50.0,25.0
128,Airtel,3G,Travelling,Madhya Pradesh,0.0,62.5,37.5
129,Airtel,3G,Travelling,Maharashtra,1.9480519480519483,87.01298701298703,11.03896103896104
130,Airtel,3G,Travelling,Meghalaya,0.0,100.0,0.0
131,Airtel,3G,Travelling,Odisha,0.0,84.61538461538461,15.384615384615385
132,Airtel,3G,Travelling,Punjab,0.0,89.13043478260867,10.869565217391305
133,Airtel,3G,Travelling,Rajasthan,2.4390243902439024,87.8048780487805,9.75609756097561
134,Airtel,3G,Travelling,Tamil Nadu,2.247191011235955,68.53932584269663,29.21348314606741
135,Airtel,3G,Travelling,Telangana,5.05050505050505,53.535353535353536,41.414141414141405
136,Airtel,3G,Travelling,Tripura,0.0,18.75,81.25
137,Airtel,3G,Travelling,Uttar Pradesh,11.965811965811966,48.29059829059829,39.74358974358975
138,Airtel,3G,Travelling,Uttarakhand,1.5151515151515151,80.3030303030303,18.181818181818183
139,Airtel,3G,Travelling,West Bengal,5.0,60.0,35.0
140,Airtel,4G,Indoor,Andhra Pradesh,8.995633187772926,81.04803493449782,9.956331877729257
141,Airtel,4G,Indoor,Assam,11.111111111111109,72.2222222222222,16.666666666666664
142,Airtel,4G,Indoor,Bihar,5.515587529976019,83.45323741007195,11.031175059952037
143,Airtel,4G,Indoor,Chandigarh,18.918918918918923,18.918918918918923,62.16216216216216
144,Airtel,4G,Indoor,Chattisgarh,2.1582733812949644,76.97841726618705,20.863309352517987
145,Airtel,4G,Indoor,Daman and Diu,0.0,100.0,0.0
146,Airtel,4G,Indoor,Delhi,17.122186495176848,34.485530546623785,48.39228295819936
147,Airtel,4G,Indoor,Goa,11.111111111111109,0.0,88.8888888888889
148,Airtel,4G,Indoor,Gujarat,5.180840664711632,87.29227761485826,7.526881720430107
149,Airtel,4G,Indoor,Haryana,7.592190889370933,81.34490238611714,11.062906724511931
150,Airtel,4G,Indoor,Himachal Pradesh,39.285714285714285,25.0,35.714285714285715
151,Airtel,4G,Indoor,Jharkhand,9.392265193370166,79.00552486187846,11.602209944751381
152,Airtel,4G,Indoor,Karnataka,15.80547112462006,69.30091185410336,14.893617021276595
153,Airtel,4G,Indoor,Kashmir,0.0,0.0,100.0
154,Airtel,4G,Indoor,Kerala,5.063291139240507,86.0759493670886,8.860759493670884
155,Airtel,4G,Indoor,Madhya Pradesh,5.9561128526645755,78.99686520376177,15.047021943573668
156,Airtel,4G,Indoor,Maharashtra,7.1563088512241055,76.15819209039549,16.68549905838041
157,Airtel,4G,Indoor,Manipur,0.0,100.0,0.0
158,Airtel,4G,Indoor,Meghalaya,0.0,100.0,0.0
159,Airtel,4G,Indoor,Nagaland,0.0,100.0,0.0
160,Airtel,4G,Indoor,Odisha,91.22807017543859,3.1578947368421053,5.614035087719297
161,Airtel,4G,Indoor,Pondicherry,0.0,81.81818181818183,18.181818181818183
162,Airtel,4G,Indoor,Punjab,7.086614173228346,75.1968503937008,17.716535433070867
163,Airtel,4G,Indoor,Rajasthan,5.782312925170068,78.45804988662131,15.759637188208616
164,Airtel,4G,Indoor,Tamil Nadu,6.713078070611637,79.0154152163103,14.27150671307807
165,Airtel,4G,Indoor,Telangana,8.299096138044371,71.98027937551356,19.72062448644207
166,Airtel,4G,Indoor,Uttar Pradesh,7.078507078507079,62.93436293436292,29.987129987129983
167,Airtel,4G,Indoor,Uttarakhand,16.155419222903888,55.623721881390594,28.22085889570552
168,Airtel,4G,Indoor,West Bengal,5.569782330345711,87.00384122919334,7.426376440460948
169,Airtel,4G,Outdoor,Andhra Pradesh,8.270676691729323,60.15037593984962,31.578947368421048
170,Airtel,4G,Outdoor,Assam,28.57142857142857,14.285714285714285,57.14285714285714
171,Airtel,4G,Outdoor,Bihar,2.043596730245232,71.5258855585831,26.430517711171664
172,Airtel,4G,Outdoor,Chandigarh,10.0,70.0,20.0
173,Airtel,4G,Outdoor,Chattisgarh,4.838709677419356,85.48387096774194,9.677419354838712
174,Airtel,4G,Outdoor,Delhi,4.097035040431267,16.549865229110512,79.35309973045823
175,Airtel,4G,Outdoor,Goa,28.57142857142857,0.0,71.42857142857143
176,Airtel,4G,Outdoor,Gujarat,5.895196506550218,79.91266375545851,14.192139737991265
177,Airtel,4G,Outdoor,Haryana,17.045454545454547,62.78409090909091,20.170454545454547
178,Airtel,4G,Outdoor,Himachal Pradesh,15.789473684210524,51.31578947368421,32.89473684210527
179,Airtel,4G,Outdoor,Jharkhand,17.307692307692307,25.0,57.69230769230769
180,Airtel,4G,Outdoor,Karnataka,9.83754512635379,63.989169675090245,26.17328519855596
181,Airtel,4G,Outdoor,Kerala,3.6931818181818175,94.0340909090909,2.272727272727273
182,Airtel,4G,Outdoor,Madhya Pradesh,14.705882352941178,41.17647058823529,44.11764705882353
183,Airtel,4G,Outdoor,Maharashtra,3.725490196078432,81.86274509803921,14.411764705882351
184,Airtel,4G,Outdoor,Meghalaya,16.666666666666664,5.5555555555555545,77.7777777777778
185,Airtel,4G,Outdoor,Odisha,2.061855670103093,86.59793814432992,11.340206185567009
186,Airtel,4G,Outdoor,Pondicherry,0.0,100.0,0.0
187,Airtel,4G,Outdoor,Punjab,43.15789473684211,27.89473684210526,28.947368421052637
188,Airtel,4G,Outdoor,Rajasthan,5.405405405405406,24.324324324324326,70.27027027027027
189,Airtel,4G,Outdoor,Tamil Nadu,6.70391061452514,74.86033519553072,18.435754189944134
190,Airtel,4G,Outdoor,Telangana,23.634881825590874,36.91931540342298,39.44580277098614
191,Airtel,4G,Outdoor,Tripura,0.0,20.0,80.0
192,Airtel,4G,Outdoor,Uttar Pradesh,6.697819314641744,46.72897196261682,46.57320872274144
